,precision,recall,f1-score,support
0,0.91839511446517,0.9945517158668425,0.9549574744599997,58367.0
1,0.5771276595744681,0.07761087267525035,0.13682219419924338,5592.0
accuracy,0.9143826513860441,0.9143826513860441,0.9143826513860441,0.9143826513860441
macro avg,0.747761387019819,0.5360812942710464,0.5458898343296216,63959.0
weighted avg,0.8885577560363513,0.9143826513860441,0.8834270801883858,63959.0
