,precision,recall,f1-score,support
0,0.9155303923881418,0.9973786557472545,0.9547034898976646,58367.0
1,0.5909090909090909,0.039520743919885554,0.07408649011062689,5592.0
accuracy,0.9136321706092966,0.9136321706092966,0.9136321706092966,0.9136321706092966
macro avg,0.7532197416486164,0.51844969983357,0.5143949900041458,63959.0
weighted avg,0.8871484239728937,0.9136321706092966,0.8777102557506467,63959.0
