,precision,recall,f1-score,support
0,0.9206310874989938,0.9797488306748676,0.9492704304377417,58367.0
1,0.35900216919739697,0.11838340486409156,0.17805271651425497,5592.0
accuracy,0.9044387810941384,0.9044387810941384,0.9044387810941384,0.9044387810941384
macro avg,0.6398166283481954,0.5490661177694796,0.5636615734759983,63959.0
weighted avg,0.8715273036508641,0.9044387810941384,0.8818420864007784,63959.0
