,precision,recall,f1-score,support
0,0.9196202833563898,0.990868127537821,0.9539156825229266,58367.0
1,0.5018691588785047,0.09603004291845493,0.161212848994296,5592.0
accuracy,0.9126315295736331,0.9126315295736331,0.9126315295736331,0.9126315295736331
macro avg,0.7107447211174472,0.543449085228138,0.5575642657586113,63959.0
weighted avg,0.8830958804094967,0.9126315295736331,0.8846088727683635,63959.0
