,precision,recall,f1-score,support
0,0.9197102324177483,0.9918789727071804,0.9544322996521423,58367.0
1,0.5316205533596838,0.09620886981402003,0.16293155663234404,5592.0
accuracy,0.9135696305445676,0.9135696305445676,0.9135696305445676,0.9135696305445676
macro avg,0.725665392888716,0.5440439212606002,0.5586819281422432,63959.0
weighted avg,0.8857791596165366,0.9135696305445676,0.8852305898854681,63959.0
