,precision,recall,f1-score,support
0,0.9214629170916508,0.9751400620213477,0.9475419115321225,58367.0
1,0.3380474452554745,0.13251072961373392,0.1903905447070915,5592.0
accuracy,0.9014681280195125,0.9014681280195125,0.9014681280195125,0.9014681280195125
macro avg,0.6297551811735627,0.5538253958175409,0.5689662281196071,63959.0
weighted avg,0.8704543128528744,0.9014681280195125,0.8813434024358956,63959.0
