,precision,recall,f1-score,support
0,0.9657184216875397,0.7543646238456662,0.8470565602154675,58367.0
1,0.21937275400196016,0.7204935622317596,0.33633859253693965,5592.0
accuracy,0.7514032427023561,0.7514032427023561,0.7514032427023561,0.7514032427023561
macro avg,0.59254558784475,0.7374290930387128,0.5916975763762036,63959.0
weighted avg,0.9004646657861379,0.7514032427023561,0.802403972225375,63959.0
