,precision,recall,f1-score,support
0,0.9192013701671478,0.993078280535234,0.9547127856701668,58367.0
1,0.5516093229744728,0.08887696709585122,0.153087940859387,5592.0
accuracy,0.9140230460138526,0.9140230460138526,0.9140230460138526,0.9140230460138526
macro avg,0.7354053465708104,0.5409776238155426,0.5539003632647769,63959.0
weighted avg,0.8870624260326017,0.9140230460138526,0.8846259154535924,63959.0
