,precision,recall,f1-score,support
0,0.9303867221555113,0.9690578580362191,0.9493286337697213,58367.0
1,0.4295641187618446,0.24320457796852646,0.31057319022607904,5592.0
accuracy,0.9055957722916244,0.9055957722916244,0.9055957722916244,0.9055957722916244
macro avg,0.679975420458678,0.6061312180023728,0.6299509119979002,63959.0
weighted avg,0.8865992958640216,0.9055957722916244,0.8934815998840127,63959.0
